Replace,WordStr
一般,普通
一般为,通常是
一般人,常人
一般是,通常为
一落千丈,一泻千里
一落千丈,江河日下
一见倾心,一见钟情
一视同仁,厚此薄彼
一视同仁,等量齐观
一览无余,一目了然
一览无余,尽收眼底
一触即发,剑拔弩张
一言为定,说一是一
一言九鼎,出言如山
一言半语,千言万语
一语而解,片言立决
一语道破,提纲挈领
一语道破,画龙点睛
一误再误,将错就错
一败涂地,一蹶不振
一败涂地,狼奔豕突
一贫如洗,一无所有
一贯,一向
一起,一同
一路上,路途中
一路顺风,一帆风顺
一蹴而就,一挥而就
一蹶不振,萎靡不振
一辈子,一生
一针见血,提纲契领
一针见血,言必有中
一钱不受,分文不取
一锤定音,一槌定音
一马平川,一望无际
一马当先,身先士卒
一鳞半爪,片纸只字
丁一卯二,的一确二
丁壮,壮年
丁宁,打发
丁忧,母丧
丁忧,父（母）丧
七、,7、
七上八下,忐忑不定
七嘴八舌,人多口杂
七嘴八舌,众说纷纭
七手八脚,手忙脚乱
七拼八凑,东拼西凑
七窍生烟,暴跳如雷
七通八达,四通八达
七零八落,乱七八糟
万万,千万
万众一心,举国同心
万众一心,众志成城
万古流芳,名垂青史
万古长存,万古长青
万古长青,万古长存
万古长青,流芳千古
万无一失,满有把握
万死不辞,在所不辞
万籁俱寂,鸦雀无声
万紫千红,姹紫嫣红
万能,全能
万试万灵,功效如神
丈量,测量
三、,3、
三三两两,人山人海
三五成群,成群结队
三令五申,再三告诫
三军,全军
三千珠履,宾客盈庭
三回九曲,三回九转
三回九转,三回九曲
三思而行,深思熟虑
三生有幸,福星高照
三番五次,接二连三
三言两语,一言半语
三言两语,言简意赅
三足鼎立,鼎足之势
上下,高低
上不着天;下不着地,水落石出
上司,领导
上将,大将
上层,上一层
上山作贼,落草为寇
上帝,天主
上当,受骗
上情,下情
上方宝剑,尚方宝剑
上来,下去
上次,前次
上款,上一款
上演,演出
上策,上上策
上级,领导
上行下效,言传身教
上身,下身
上进,长进
上限,下限
上风,优势
下世,来世
下令,命令
下列,以下
下午,下战书
下午,下昼
下台,上台
下品,上品
下层,上层
下层,基层
下属,上司
下属,部属
下弦,上弦
下战书,下午
下昼,下午
下来,上去
下流,下贱
下游,下流
下狱,坐牢
下班,上班
下笔成章,出口成章
下等,劣等
下落,着落
下贱,低贱
下贱,轻贱
下车伊始,新来乍到
下里巴人,阳春白雪
下降,下落
下降,降低
下降,降落
不一,纷歧
不一而足,所在多有
不三不四,不伦不类
不上不下,处境尴尬
不中听,不入耳
不乏其人,不胜枚举
不乱,稳定
不二,不贰
不仅,不但
不仅,不只
不仅仅,不单单
不以为意,漫不经心
不伏手,不顺手
不伤脾胃,惠而不费
不伦不类,不三不四
不伦不类,不正经
不但,不仅
不但,不光
不但,不单
不但,不只
不作数,不当准
不佳,欠安
不便,方便
不便,未便
不修边幅,蓬头垢面
不值一提,何足道哉
不假思索,搜索枯肠
不偏不倚,中庸之道
不停,一直
不停,不断
不停,不绝
不偶,数奇
不光,不但
不克不及,不能
不免,难免
不入耳,不中听
不共戴天,令人切齿
不共戴天,你死我活
不共戴天,势不两立
不共戴天,誓不两立
不决,未定
不准,禁绝
不凡,非凡
不分皁白,不顾曲直
不分高下,难分轩轾
不刊之论,不易之论
不利,晦气
不务正业,游手好闲
不动声色,若无其事
不劳而获,坐享其成
不卑不亢,不骄不躁
不即不离,半推半就
不即不离,若即若离
不厌其烦,诲人不倦
不厌其详,不厌求详
不厌求详,不厌其详
不可,不行
不可一世,咄咄逼人
不可一世,妄自菲薄
不可一世,旁若无人
不可一世,盛气凌人
不可一世,目空四海
不可一世,高视阔步
不可企及,指日可待
不可偻指算,更仆难数
不可动摇,见异思迁
不可多得,车载斗量
不可开交,不亦乐乎
不可思议,难以想象
不可救药,病入膏肓
不可胜数,不计其数
不可胜数,数不胜数
不吃烟火食,不食人间烟火
不合时宜,不达时宜
不合错误,不对
不同,分歧
不同凡响,与众不同
不吝,不惜
不吝指教,不吝珠玉
不吝指教,不吝金玉
不吝珠玉,不吝指教
不唯,不惟
不堪,不胜
不堪一击,摧枯拉朽
不堪设想,不可思议
不外,不过
不够,不敷
不夺农时,不违农时
不好,欠好
不妥,不当
不妨,无妨
不学无术,真才实学
不学而能,生而知之
不宁不奈,不宁奈
不宁不耐,不宁耐
不宁奈,不宁不奈
不宁耐,不宁不耐
不守妇道,不安于位
不守妇道,不安于室
不安于位,不守妇道
不安于室,不守妇道
不安于室,红杏出墙
不安分,不安本分
不安本分,不安分
不容置疑,无可置疑
不寒而栗,毛骨悚然
不对,错误
不对,差错
不对,纰谬
不对,舛讹
不对,舛误
不对,舛错
不对,谬误
不对,过错
不少,很多
不屈,不平
不屈不挠,再接再厉
不屈不挠,勇往直前
不屈不挠,奋不顾身
不屈不挠,宁为玉碎
不屈不挠,百折不挠
不屑一顾,嗤之以鼻
不平,不屈
不平,不服
不应,不该
不当,不妥
不当,欠妥
不当准,不作准
不当准,不作数
不得不,不能不
不得善终,天诛地灭
不得要领,茫无头绪
不必,不用
不必,没必要
不忘本,有良心
不惜,不吝
不惟,不唯
不意,不料
不愿,不肯
不慎,失慎
不成体统,有失体统
不成才,不长进
不成材,不长进
不打不成相与,不打不相识
不打不相识,不打不成相与
不打不相识,不打不成相识
不打自招,屈打成招
不折不扣,彻彻底底
不拘一格,形形色色
不拘小节,不顾外表
不拘小节,落拓不羁
不搭嘴,不搭腔
不搭腔,不搭嘴
不搭腔,不答腔
不敢则声,吞声忍气
不敷,不够
不敷,不足
不料,不意
不料,不虞
不断,不休
不断,不息
不断,不时
不断,不竭
不断,接续
不断,络续
不断,赓续
不日,克日
不易,不容易
不易之论,不刊之论
不服水土,不伏水土
不服水土,水土不服
不期而遇,萍水相逢
不染纤尘,冰清玉洁
不正经,不伦不类
不死即伤,非死即伤
不比是,不像是
不毛之地,穷山恶水
不求甚解,囫囵吞枣
不求甚解,生吞活剥
不法,犯科
不法,犯警
不法,造孽
不测,意外
不消,不用
不然,否则
不理,不睬
不用,不必
不用,不消
不由得,忍不住
不由得,禁不住
不由自主,情不自禁
不畅,不顺畅
不留余地,不动声色
不留心,不留神
不留神,不留心
不相上下,八两半斤
不相上下,分庭抗礼
不相上下,平起平坐
不相闻问,断绝往来
不省人事,昏迷不醒
不睬,不理
不知去向,不翼而飞
不知去向,石沉大海
不知恩义,忘恩负义
不知恩义,见利忘义
不知恩义,过河抽板
不知恩义,过河拆桥
不知所措,手足无措
不禁,不由
不稂不莠,不郎不秀
不管,不论
不管是,不论是
不约而合,不谋而合
不约而同,不谋而合
不绝,不停
不置可否,模棱两可
不翼而飞,不知去向
不翼而飞,不胫而走
不耻下可,虚怀若谷
不肯,不愿
不胜,不堪
不胜枚举,不乏其人
不胫而走,不翼而飞
不胫而走,风行一时
不能,不克不及
不能尽数,不能胜数
不能胜数,不能尽数
不能自制,不能自已
不能自已,不能自制
不自量力,量力而行
不苟言笑,一本正经
不落俗套,不落窠臼
不落窠臼,不落俗套
不落窠臼,步人后尘
不虚此行,不枉此行
不行,不可
不要紧,没关系
不见圭角,不露锋芒
不言而喻,不问可知
不言而喻,显而易见
不计其数,不可胜数
不许,不准
不论,不管
不论,岂论
不论,非论
不识一丁,不识之无
不识之无,不识一丁
不识好歹,不识抬举
不识时务,不识时变
不识时务,吃米不知米价
不识时变,不识时务
不该,不应
不请自来,不速之客
不谋而合,不约而合
不谋而合,不约而同
不贰,不二
不足,缺乏
不足为凭,不足为据
不足为奇,多如牛毛
不足为奇,层见迭出
不足为奇,屡见不鲜
不足为奇,数见不鲜
不足为奇,无独有偶
不足为据,不足为凭
不足挂齿,不足齿数
不足齿数,不足挂齿
不辞劳怨,不辞劳苦
不辞劳苦,不辞劳怨
不辞辛苦,任劳任怨
不达时宜,不合时宜
不过,不外
不近人情,通情达理
不违农时,不夺农时
不迟不疾,从容不迫
不迭,不及
不通,欠亨
不遗余力,竭尽全力
不郎不秀,不稂不莠
不长进,不成才
不长进,不成材
不问可知,不言而喻
不闻不问,不理不睬
不闻不问,漠不关心
不雅,不雅观
不露声色,不露神色
不露神色,不露声色
不露锋芒,不见圭角
不露锋芒,不露圭角
不顺手,不伏手
不顺畅,不畅
不顾,掉臂
不顾一切,悍然不顾
不顾外表,不拘小节
不顾曲直,不分皁白
不食人间烟火,不吃烟火食
与众不同,不同凡响
与众不同,异乎寻常
与会,预会
与你何关,干卿底事
与日俱增,一日千里
与日俱增,日积月累
与闻,预闻
丑化,美化
丑恶,丑陋
丑陋,丑恶
丑陋,漂亮
专一,专注
专任,兼任
专制,民主
专制,独裁
专心致志,收视反听
专断,独断
专权,擅权
专横,跋扈
专横跋扈,飞扬跋扈
专用,公用
专程,特地
专长,特长
世世代代,生生世世
世人,众人
世伯,父执
世态炎凉,人情冷暖
世故,圆滑
世易时移,事过境迁
世界大同,天下一家
世道沦亡,人心不古
世间,人间
业余,专业
业务,营业
业绩,事迹
丛林,森林
丛聚,簇集
丛集,猬集
东倒西歪,七颠八倒
东倒西歪,井井有条
东北,西南
东南,西北
东奔西走,到处奔跑
东家,店主
东山再起,死灰复然
东床,半子
东方,西方
东洋,东瀛
东洋,西洋
东瀛,东洋
东西,器材
东西,器械
东西,工具
东风,春风
东风,西风
丝毫,涓滴
丝毫不爽,谬误百出
丢三拉四,丢三落四
丢三落四,丢三拉四
丢失,丧失
丢弃,抛弃
丢盔弃甲,落花流水
丢脸,难看
丢魂失魄,失魂落魄
丢魂失魄,慌慌张张
丢魂失魄,魂不附体
两全,分身
两全其美,一举两得
两厢情愿,一厢情愿
两头,两端
两头,中间
两姓之好,秦晋之好
两姓之欢,秦晋之好
两小无猜,青梅竹马
两极,南北极
两码事,两回事
两端,两头
两者,二者
两败俱伤,两全其美
两边,双方
两面三刀,阳奉阴违
严严实实,结结实实
严刑,酷刑
严厉,严峻
严厉,严格
严厉,峻厉
严容,厉色
严密,周密
严密,紧密
严寒,酷寒
严峻,严格
严峻,严肃
严峻,严重
严惩,宽大
严惩,重办
严明,严正
严格,严厉
严格,严酷
严正,严明
严正,严肃
严肃,严厉
严肃,严正
严酷,严格
严防,谨防
严阵以待,枕戈待旦
严阵以待,盛食厉兵
丧事,凶事
丧失,损失
丧家之犬,漏网之鱼
丧尽天良,丧心病狂
丧心病狂,丧尽天良
丧母,失恃
丧气,沮丧
丧父,失怙
个人,团体
个人,小我
个人主义,本位主义
个体,个别
个体,集体
个别,一般
个别,个体
个性,特性
个性难改,本性难移
丫环,丫鬟
丫鬟,丫环
中举,及第
中分,平分
中医,西医
中午,午时
中午,半夜
中午,正午
中原,华夏
中听,入耳
中央,中心
中央,地方
中庸之道,不偏不倚
中心,中间
中心人物,核心分子
中怀怨恨,仇隙在心
中断,中止
中断,中缀
中断,间断
中止,中断
中流砥柱,国家栋梁
中用,顶用
中计,上钩
中计,入彀
中计,入网
中转,直达
中选,当选
中途,半途
中间,两头
中间,中央
中间,中心
中靶,脱靶
中餐,西餐
丰产,丰收
丰产,丰登
丰功伟绩,劳苦功高
丰厚,丰富
丰姿,风姿
丰富,丰厚
丰富,丰硕
丰富,厚实
丰富,富厚
丰富,雄厚
丰年,乐岁
丰年,康年
丰年,熟年
丰度,品貌
丰收,丰产
丰收,歉收
丰满,饱满
丰登,丰收
丰盛,丰厚
丰盛,丰富
丰硕,丰富
丰硕,丰盛
丰衣足食,人给家足
丰衣足食,饥寒交迫
丰裕,充盈
丰采,神姿
丰饶,富饶
串联,串连
串连,串联
串通,通同
临摹,摹仿
临时,一时
临时,且则
临时,且自
临时,姑且
临时,暂且
临时,暂时
临机处置,临机应变
临机应变,临机处置
临渴掘井,临阵磨枪
临渴掘井,急时抱佛脚
临渴掘井,江心补漏
临渴掘井,渴而穿井
临盆,分娩
临近,邻近
临阵磨枪,临渴掘井
临阵脱逃,冲锋陷阵
丹心,赤忱
丹成相许,披肝沥胆
丹诚相许,沥胆披肝
丹青,图画
丹青妙手,美术大师
为了避免,为了不
为人作嫁,依人篱下
为人作嫁,火中取栗
为人作嫁,耕人之田
为什么,为何
为何,为什么
为宜,为好
为所欲为,随心所欲
为期不远,指日可待
为民除害,为虎作伥
为虎作伥,助纣为虐
为虎傅翼,如虎添翼
为难,难堪
主动,自动
主妇,妇女
主子,奴才
主干,骨干
主座,长官
主张,主意
主意,主张
主意,主见
主持,掌管
主旨,大旨
主旨,宗旨
主理,主办
主笔,编缉
主要,次要
主要,重要
主要,首要
主见,主意
主观,客观
主角,配角
主谋,胁从
主队,客队
主顾,顾主
主顾,顾客
丽人,美人
举一反三,触类旁通
举不胜举,不胜枚举
举世,环球
举世无匹,旷代一人
举世无双,独一无二
举世闻名,誉满天下
举事,发难
举办,举行
举动,举措
举动,行为
举动当作,算做
举国若狂,纵情欢乐
举报,告发
举措,举动
举措,行动
举杯,碰杯
举案齐眉,相敬如宾
举棋不定,当机不断
举棋不定,犹豫不定
举止高雅,落落大方
举步维艰,寸步难行
举荐,推荐
举行,举办
举行,进行
举足轻重,无足轻重
举高,抬高
乃至,甚至
久旱,亢旱
久有存心,费尽心机
久而久之,一朝一夕
久而久之,长此以往
久远,长远
久长,悠久
久长,长久
义不容辞,当仁不让
义不容辞,责无旁贷
义军,义兵
义军,义师
义冢,公墓
义务,责任
义士,烈士
义师,义军
义愤填膺,满腔怒火
义无反顾,义无返顾
义无返顾,义无反顾
义正词严,理直气壮
义正辞严,理直气壮
义父,寄父
之中,当中
之内,以内
之后,以后
之处,的地方
之外,以外
之旅,的旅程
乌七八糟,乱七八糟
乌烟瘴气,一塌糊涂
乌鸟私情,慈乌反哺
乌黑,漆黑
乌黑,黝黑
乍寒乍热,忽冷忽热
乏味,有趣
乐不可支,兴高采烈
乐不思蜀,乐而忘返
乐不思蜀,流连忘返
乐呵呵,乐和和
乐和和,乐呵呵
乐园,乐土
乐土,乐园
乐天知命,安分守己
乐孜孜,乐滋滋
乐岁,丰年
乐工,乐师
乐师,乐工
乐意,愿意
乐意,甘愿答应
乐意,高兴愿意
乐成,告成
乐成,成功
乐极生悲,兴尽悲来
乐滋滋,乐陶陶
乐滋滋,气呼呼
乐观,悲观
乐谱,曲谱
乐道安贫,伏枥守株
乐陶陶,乐滋滋
乐陶陶,乐融融
乐陶陶,喜洋洋
乐音,噪音
乔妆,改扮
乔迁之喜,出谷迁乔
乖僻,古怪
乖巧,灵巧
乖谬,谬妄
乘人之危,落井下石
乘凉,纳凉
乘机,伺机
乘船,搭船
乘虚而入,浑水摸鱼
乘车,搭车
乘隙,趁机
乘风破浪,披荆斩棘
九、,9、
九牛一毛,沧海一粟
九牛一毫,牛之一毛
九霄云外,无影无踪
乞哀告怜,摇尾乞怜
乞援,讨援
乞求,哀求
乞求,祈求
乞贷,借款
乞贷,借钱
乞降,求和
也可以,也能够
也成,同样成
也许,或许
习俗,风俗
习性,习惯
习惯,习气
习气,习惯
习用,惯用
乡下,乡间
乡亲,老乡
乡人,村夫
乡俗,土风
乡信,家书
乡村,村庄
乡村,村落
乡间,乡下
书不宣意,言不尽意
书信,手札
书函,书札
书函,书牍
书函,书简
书厨,书柜
书柜,书厨
书柜,书橱
书柬,书函
书橱,书柜
书生,墨客
书画,字画
书简,书柬
书箧,书箱
书箱,书箧
书籍,书本
书籍,册本
书面语,口语
书页,册页
买主,卖主
买价,卖价
买办,大班
买卖,生意
买通,打通
乱七八糟,七零八落
乱七八糟,东倒西歪
乱七八糟,乌七八糟
乱七八糟,参差不齐
乱七八糟,杂乱无章
乱世,浊世
乱哄哄,乱烘烘
乱哄哄,乱糟糟
乱撞,乱闯
乱来,糊弄
乱烘烘,乱哄哄
乱用,乱花
乱花,乱用
乱说,胡说
乱闯,乱撞
乳臭未干,年幼无知
乳臭未干,黄口孺子
了不得,了不起
了不起,了不得
了债,清偿
了如指掌,洞若观火
了如指掌,管窥蠡测
了局,下场
了局,结局
了案,结案
了结,了却
了结,告终
了解,懂得
了解,理解
了解,认识
了解,领会
争先,抢先
争先恐后,力争上游
争光,抹黑
争分夺秒,分秒必争
争取,争夺
争吵,争持
争夺,争取
争夺,抢夺
争执,争论
争脸,丢脸
争艳,斗丽
争论,争辩
争辩,辩论
事不宜迟,当务之急
事与愿违,适得其反
事件,事务
事件,事宜
事件,事情
事倍功半,事半功倍
事先,事前
事变,事情
事变,事故
事变,事项
事后,过后
事后,预先
事在人为,听天由命
事实,现实
事必躬亲,身体力行
事态,局势
事情,工作
事故,变乱
事过境迁,世易时移
事过境迁,情随事迁
事迹,业绩
二、,2、
二八佳人,妙龄少女
二心,一心
二心,他心
二簧,二黄
二者,两者
二黄,二簧
于归之喜,出阁之喜
于是,因而
亏心,负心
亏损,吃亏
亏损,盈余
亏本,赔本
云云,如此
云消雾散,烟消云散
云豆,芸豆
云雾迷蒙,云雾弥漫
互不侵犯,各不相犯
互不相让,各执己见
互助,合作
互市,通商
互换,交换
互相,相互
互相研究,切磋琢磨
五、,5、
五体投地,心悦诚服
五光十色,五花八门
五光十色,五颜六色
五劳七伤,五痨七伤
五十步笑百步,龟笑鳖无尾
五彩缤纷,五光十色
五彩缤纷,花团锦簇
五月,蒲月
五湖四海,四面八方
五湖四海,大江南北
五痨七伤,五劳七伤
五花八门,八门五花
五雷轰顶,青天霹雳
五颜六色,五彩缤纷
井井有条,井然有序
井井有条,层序分明
井井有条,层次分明
井井有条,有条不紊
井井有条,齐齐整整
井底之蛙,坐井观天
井水不犯河水,相得益彰
井然有序,井井有条
井然有序,井井有理
井然有序,有条有理
井蛙语海,妄自尊大
亘古未有,前所未有
亘古未有,史无前例
亘古未有,比比皆是
亘古未有,空前未有
亚肩迭背,肩摩毂击
亡命,流亡
亡命,逃亡
亢旱,久旱
交代,交卸
交代,交接
交加,交集
交叉,穿插
交友,结交
交口称誉,有口皆碑
交壤,交界
交头接耳,低声密语
交头接耳,窃窃私议
交头接耳,窃窃私语
交往,来往
交待,交代
交心,谈心
交恶,反目
交情,友谊
交战,交兵
交换,互换
交换,交流
交接,交代
交易,买卖
交易,生意业务
交替,瓜代
交流,交换
交浅言深,话不投机
交煎,交迫
交班,接班
交界,交壤
交界,接壤
交织,交叉
交织,交错
交融,融合
交谈,扳谈
交谈,攀谈
交谊,情谊
交谪,吵骂
交运,走运
交迫,交煎
交锋,比武
交错,交织
交际,外交
交际,寒暄
交际,社交
产业,家产
产业,家当
产业,工业
产业,财产
产品,产物
产物,产品
产生,发生
亨衢,通衢
亨通,利市
享乐,享受
享受,享用
享有盛名,颇负盛名
享福,受罪
享福,纳福
享誉中外,尽人皆知
京彩,皮蛋
亮堂,明亮
亮堂堂,黑糊糊
亮相,表态
亲串,戚属
亲事,婚事
亲信,心腹
亲切,亲热
亲友,亲朋
亲密,密切
亲昵,密切
亲朋,亲友
亲热,亲切
亲热,亲近
亲热,激情亲切
亲自,亲身
亲身,亲自
亲身,切身
亵服,内衣
人不知;鬼不觉,不知不觉
人中表表,铁中铮铮
人为,工资
人为,工钱
人为,报酬
人之常情,人情世故
人云亦云,吠形吠声
人云亦云,随声附和
人力车,黄包车
人去楼空,室迩人遐
人口,生齿
人命关天,草菅人命
人喊马嘶,人困马乏
人地相宜,地利人和
人多势众,单枪匹马
人多口杂,七嘴八舌
人多口杂,七言八语
人定胜天,谋事在人
人寿年丰,繁荣昌盛
人尽其才,量才录用
人山人海,摩肩接踵
人工流产,打胎
人强马壮,兵强马壮
人心不古,世道沦亡
人心所向,众矢之的
人心涣散,一盘散沙
人性,人道
人性,兽性
人情,情面
人情世故,人之常情
人情冷暖,世态炎凉
人才,人才网job.vhao.net
人才济济,人才辈出
人材,人才
人杰地灵,地灵人杰
人民,国民
人浮于事,僧多粥少
人浮于事,杯水车薪
人烟,火食
人祸,天灾
人算不如天算,千算万算，不值天一划
人给家足,丰衣足食
人缘,分缘
人老珠黄,老树枯柴
人证,物证
人造,天然
人道,人性
人间,人世
什么,甚么
什物,实物
什锦,十锦
仁义道德,豺狼成性
仁慈,善良
仁慈,残忍
仁政,暴政
仁至义尽,穷力尽心
仅有,唯一
仆人,家丁
仆从,奴才
仆从,奴隶
仆众,奴婢
仆役,仆人
仆欧,跑堂
仇人,仇敌
仇人,敌人
仇家,对头
仇恨,冤仇
仇恨,痛恨
仇敌,仇人
仇视,敌视
仇隙在心,中怀怨恨
今世,当代
今人,古人
今后,从此
今后,往后
今后,此后
今天,明天
今年,往年
今年,本年
今日,昔日
今日,本日
今是昨非,今非昔比
今生,此生
介入,参与
介弟,令弟
介怀,介意
介意,介怀
介绍,引见
仍旧,仍然
仍旧,仿照照旧
仍旧,依旧
仍旧,如故
仍是,还是
仍然,依然
从兄弟,堂兄弟
从军,参军
从前,夙昔
从前,早年
从前,畴前
从古到今,古往今来
从天而降,突如其来
从头到尾,从头至尾
从头至尾,从头到尾
从头至尾,自始至终
从容,沉着
从容,自在
从容不迫,不迟不疾
从容不迫,慢条斯理
从容自在,从容自若
从容自若,从容自在
从属,附属
从属,隶属
从新,重新
从来,历来
从速,赶快
仓促,仓皇
仓促,匆促
仓促,急促
仓促,急急
仓卒,匆急
仓惶,仓遑
仓猝,匆促
仓皇,仓促
仓皇失措,惊惶失措
仓遑,仓惶
仔细,细心
仕女画,士女画
仕宦,官吏
仕进,做官
仕途,宦途
他乡,家乡
他乡,异乡
他乡,异域
他人,别人
他山之石,参考之资
他心,贰心
他日,另日
他日,异日
他日,改日
他日,未来畴昔
他杀,自杀
仗势欺人,狐假虎威
付与,授予
付与,赋予
付之一笑,一笑置之
付出,支付
付出,支出
付托,吩咐
付梓,排印
仙丹,灵药
仙人,神仙
仙游,升天
仙颜,美貌
仙风道骨,品格清高
仙风道骨,品格清高瘦骨如柴
代价,价值
代价,价格
代劳,代庖
代庖,代办
代庖,代劳
代替,取代
代替,替代
代理,代办署理
代理,署理
令人,使人
令出必行,令出如山
令出必行,驷不及舌
令坦,令婿
令坦,贵婿
令婿,令坦
令媛,千金
令弟,介弟
令正,令阃
令郎,公子
令阃,令正
以为,觉得
以为,认为
以免,以避免
以其人之道;还治其人之身,以眼还眼
以内,之内
以前,之前
以及,和
以后,今后
以后,当前
以外,之外
以怨报德,恩将仇报
以手加额,额手称庆
以是,所以
以牙还牙,以眼还眼
以管窥天,坐井观天
以至,以致
以致,乃至
以致,致使
以讹传讹,耳食之言
以身试法,知法犯法
以避免,以免
以邻为壑,嫁祸于人
以邻为壑,嫁祸他人
仪式,典礼
仰人鼻息,举夺由人
仰人鼻息,寄人篱下
仰头,抬头
仰慕,敬慕
仰望,仰视
仰望,瞻仰
仰给,仰食
仰药,服毒
仰视,俯视
仰面,抬头
仰面朝天,四脚朝天
仰食,仰给
仲春,二月
仲父,季父
仳离,离婚
仳离,离异
价值千金,价值连城
价值千金,无价之宝
价值连城,无价之宝
价格,价钱
价钱,代价
价钱,价格
任人唯亲,任人唯贤
任人唯贤,任人唯亲
任其自然,听之任之
任凭,听凭
任务,义务
任务,使命
任劳任怨,怨天尤人
任命,录用
任性,率性
任意,恣意
任意,肆意
任意,随便
任意,随意率性
份内,分内
份子,分子
份量,分量
仿佛,似乎
仿佛,恍如
仿制,仿造
仿单,说明书
仿照,模仿
仿造,仿制
企图,妄图
企图,希图
企图,诡计
企图,贪图
企慕,仰慕
企求,祈求
伉俪,夫妻
伊于胡底,如何了局
伎俩,手段
伎俩,手法
伏乞,伏祈
伏侍,服事
伏枥守株,乐道安贫
伏枥老骥,归隐志士
伏法,伏诛
伏法,受刑
伏祈,伏乞
伏罪,服罪
伏羲,宓羲
伏莽,盗匪
伏诛,伏法
伏输,服输
伐木,砍木
伐毛洗髓,荡垢涤污
伐鼓,击鼓
休业,停业
休养,疗养
休咎,吉凶
休咎,福祸
休学,复学
休息,歇息
休憩,憩息
休憩,歇息
休战,停战
休戚与共,同甘共苦
休戚相关,风雨同舟
休止,停止
众人,世人
众叛亲离,孤家寡人
众口一词,如出一口
众口一词,异口同声
众口称善,口碑载道
众口纷纭,众说纷纭
众多,浩瀚
众多,浩繁
众寡不敌,众寡悬殊
众寡不敌,寡不敌众
众寡悬殊,寡不敌众
众志成城,万众一心
众志成城,众擎易举
众怒,公愤
众所周知,尽人皆知
众擎易举,众志成城
众说纷纭,众口纷纭
优劣,好坏
优异,优良
优柔寡断,犹豫不决
优点,长处
优秀,优异
优秀,优良
优美,幽美
优美,美丽
优美,美好
优胜,优越
优良,优秀
优良,良好
优质,优良
优越,优胜
伙伴,同伴
伙伴,火伴
伙计,伴计
伙计,店员
会合,会集
会合,汇合
会合,集中
会合,齐集
会商,谈判
会堂,礼堂
会心,会意
会意,会心
会晤,接见会面
会晤,见面
会聚,集聚
会萃,聚集
会见,会晤
会见,会面
会计,管帐
会谈,漫谈
会谈,谈判
会集,会合
会集,汇集
会面,会晤
会面,会见
会餐,聚餐
伟人,巨人
伟大,巨大
传布,传播
传扬,宣扬
传授,教授
传播,传布
传播,传达
传播,流传
传教,布道
传染,沾染
传染病,流行症
传神,逼真
传记,列传
传达,转达
传闻,传说风闻
传闻,风闻
伤天害理,丧尽天良
伤害,危险
伤害,损伤
伤害,损害
伤弓之鸟,惊弓之鸟
伤心,悲伤
伤时感事,忧国忧民
伤风,感冒
伤风败俗,移风易俗
